1.0  55.0
2.0  154.0
3.0  215.0
4.0  193.0
5.0  191.0
6.0  119.0
7.0  98.0
8.0  45.0
9.0  20.0
10.0  7.0
11.0  54.0
12.0  201.0
13.0  269.0
14.0  262.0
15.0  225.0
16.0  159.0
17.0  76.0
18.0  53.0
19.0  40.0
20.0  15.0
21.0  22.0
22.0  67.0
23.0  133.0
24.0  150.0
25.0  149.0
26.0  148.0
27.0  94.0
28.0  98.0
29.0  54.0
30.0  49.0
31.0  22.0
32.0  18.0
33.0  39.0
34.0  131.0
35.0  220.0
36.0  219.0
37.0  199.0
38.0  162.0
39.0  91.0
40.0  60.0
41.0  21.0
42.0  15.0
43.0  34.0
44.0  123.0
45.0  211.0
46.0  192.0
47.0  203.0
48.0  133.0
49.0  76.0
50.0  45.0
51.0  25.0
52.0  12.0
53.0  29.0
54.0  88.0
55.0  136.0
56.0  174.0
57.0  170.0
58.0  164.0
59.0  99.0
60.0  65.0
61.0  46.0
62.0  25.0
63.0  13.0
64.0  4.0
65.0  5.0
66.0  25.0
67.0  81.0
68.0  84.0
69.0  94.0
70.0  113.0
71.0  70.0
72.0  40.0
73.0  22.0
74.0  7.0
75.0  4.0
76.0  9.0 
